"Month","Use"
2004-10,3657.661
2004-11,8526.038
2004-12,11814.046
2005-01,15422.446
2005-02,14189.254
2005-03,8680.225
2005-04,15118.534
2005-05,13699.983
2005-06,8539.755
2005-07,6833.161
2005-08,11016.786
2005-09,10243.490
2005-10,8215.533
2005-11,32389.593
2005-12,11071.116
2006-01,5920.351
2006-02,19943.912
2006-03,14021.402
2006-04,16399.646
2006-05,4650.568
2006-06,8212.918
2006-07,5960.631
2006-08,6747.746
2006-09,10127.676
2006-10,7678.656
2006-11,4547.713
2006-12,3450.286
2007-01,3691.710
2007-02,42904.023
2007-03,10738.307
2007-04,5748.476
2007-05,33908.569
2007-06,22189.491
2007-07,8259.687
2007-08,6280.703
2007-09,12425.166
2007-10,25629.911
2007-11,7435.050
2007-12,3660.777
2008-01,42353.284
2008-02,4081.184
2008-03,4665.540
2008-04,37416.255
2008-05,4917.486
2008-06,19539.473
2008-07,6406.308
2008-08,5360.643
2008-09,7701.163
2008-10,2297.116
2008-11,4281.952
2008-12,7424.276
2009-01,44641.866
2009-02,29300.691
2009-03,4287.619
2009-04,19725.907
2009-05,25291.201
2009-06,13551.599
2009-07,10088.810
2009-08,8322.425
2009-09,8573.506
2009-10,2155.202
2009-11,23890.782
2009-12,36713.002
2010-01,7053.747
2010-02,50141.986
2010-03,11303.186
2010-04,8620.674
2010-05,5142.681
2010-06,9840.472
2010-07,6482.866
2010-08,5714.832
2010-09,7696.317
2010-10,6974.404
2010-11,25523.043
2010-12,19655.508
2011-01,69831.495
2011-02,13358.483
2011-03,16094.505
2011-04,15988.631
2011-05,7751.764
2011-06,7254.454
2011-07,10011.656
2011-08,9991.658
2011-09,11376.674
2011-10,23596.815
2011-11,17784.447
2011-12,17220.833
2012-01,10361.920
2012-02,19002.286
2012-03,93670.355
2012-04,8883.718
2012-05,9174.981
2012-06,10883.691
2012-07,11684.356
2012-08,13165.033
2012-09,14795.732
2012-10,19183.128
2012-11,66519.729
2012-12,8011.558
2013-01,7876.627
2013-02,7593.697
2013-03,73881.702
2013-04,35171.875
2013-05,9377.938
2013-06,8777.983
2013-07,8095.371
2013-08,9804.528
2013-09,12012.238
2013-10,3782.868
2013-11,27909.772
2013-12,123244.449
2014-01,9176.201
2014-02,29600.846
2014-03,18357.776
2014-04,18819.542
2014-05,9643.880
2014-06,8500.876
2014-07,8597.095
2014-08,8143.484
2014-09,14635.327
2014-10,9564.583
2014-11,42834.281
2014-12,54844.963
2015-01,29152.286
2015-02,7429.918
2015-03,50999.778
2015-04,24256.572
2015-05,16298.428
2015-06,18202.060
2015-07,39642.303
2015-08,10191.604
2015-09,12890.519
2015-10,16186.037
2015-11,64299.980
2015-12,22911.810
2016-01,49988.479
2016-02,9727.593
2016-03,18956.712
2016-04,37092.232
2016-05,16150.129
2016-06,33481.804
2016-07,26011.634
2016-08,11267.843
2016-09,13321.640
2016-10,75718.491
2016-11,7960.289
2016-12,39462.663
2017-01,41651.653
2017-02,7483.733
2017-03,15947.009
2017-04,42113.646
2017-05,10000.472
2017-06,16601.539
2017-07,36408.089
2017-08,9648.022
2017-09,10288.239
2017-10,35177.727
2017-11,53964.933
2017-12,58786.125
2018-01,18874.877
2018-02,9924.800
2018-03,11653.787
2018-04,49058.602
2018-05,10055.365
2018-06,49461.856
2018-07,24221.488
2018-08,11473.927
2018-09,18329.560
